second,packet_drop_rate,byte_drop_rate,avg_timeDelta,std_timeDelta,skw_timeDelta,kur_timeDelta,vmaf,exp_id,video,problem,value
16.0,-0.1735,-0.1356,0.0043,0.0125,2.6892,5.4217,90.68200790909091,3959,scarlet,delay,580
17.0,0.1206,0.1496,0.0036,0.0115,3.0409,7.4919,78.72701804545454,3959,scarlet,delay,580
18.0,-0.1917,-0.0344,0.0034,0.011,3.1923,8.4758,17.949966454545454,3959,scarlet,delay,580
19.0,0.0669,0.092,0.0038,0.0117,2.9075,6.6133,18.707106904761908,3959,scarlet,delay,580
20.0,-0.0246,0.0034,0.0034,0.0111,3.1134,7.8947,19.489745,3959,scarlet,delay,580
21.0,-0.0425,-0.0137,0.0033,0.0109,3.2277,8.6661,20.508989863636366,3959,scarlet,delay,580
22.0,0.021,0.1107,0.0041,0.0122,2.7976,6.0178,21.121477363636362,3959,scarlet,delay,580
23.0,0.0039,0.0249,0.0041,0.0122,2.8015,6.0561,45.02861554545454,3959,scarlet,delay,580
24.0,-5.8571,-6.4752,0.0037,0.0115,3.0398,7.6087,71.21275113636365,3959,scarlet,delay,580
25.0,0.0,0.0,0.0187,0.0235,0.4573,-2.4841,85.56766445454546,3959,scarlet,delay,580
1.0,-0.0026,0.0272,0.0025,0.0095,3.7908,12.8043,99.87753576190478,4471,scarlet,good,0
2.0,-0.0036,0.0274,0.0036,0.0116,3.0157,7.288,100.0,4471,scarlet,good,0
3.0,0.0,0.0274,0.0037,0.0118,2.9712,7.0076,51.136822363636355,4471,scarlet,good,0
4.0,0.0,0.0274,0.0034,0.0113,3.1364,8.0241,80.31887009090909,4471,scarlet,good,0
5.0,0.1625,0.1991,0.0042,0.0126,2.7017,5.4582,100.0,4471,scarlet,good,0
6.0,0.0,0.0275,0.0035,0.0116,3.0883,7.7811,100.0,4471,scarlet,good,0
7.0,0.0,0.0274,0.0036,0.0116,2.9878,7.0758,100.0,4471,scarlet,good,0
8.0,0.0,0.0275,0.0034,0.0114,3.0901,7.7356,100.0,4471,scarlet,good,0
9.0,0.0,0.0276,0.0036,0.0117,2.9851,7.0889,100.0,4471,scarlet,good,0
10.0,-0.0035,0.0273,0.0035,0.0115,3.082,7.6815,100.0,4471,scarlet,good,0
11.0,0.0,0.0272,0.0042,0.0125,2.7335,5.6334,100.0,4471,scarlet,good,0
12.0,0.0,0.0274,0.0038,0.012,2.8842,6.4905,100.0,4471,scarlet,good,0
13.0,-0.0039,0.0271,0.0039,0.0121,2.8585,6.3315,99.91600752380953,4471,scarlet,good,0
14.0,0.0,0.0272,0.0036,0.0117,3.0169,7.292,97.97501231818183,4471,scarlet,good,0
15.0,-0.0177,0.0264,0.0043,0.0127,2.6515,5.1968,98.09195186363637,4471,scarlet,good,0
16.0,0.0,0.0271,0.0051,0.0137,2.3615,3.7145,98.706783,4471,scarlet,good,0
17.0,0.0,0.0273,0.0032,0.011,3.2565,8.8024,100.0,4471,scarlet,good,0
18.0,0.0,0.0273,0.0041,0.0124,2.7126,5.4846,100.0,4471,scarlet,good,0
19.0,0.0,0.0276,0.0035,0.0116,3.0482,7.4755,100.0,4471,scarlet,good,0
20.0,0.0,0.0275,0.0037,0.0117,2.9702,6.9859,100.0,4471,scarlet,good,0
21.0,-0.0033,0.0271,0.0031,0.011,3.2894,9.0346,100.0,4471,scarlet,good,0
22.0,0.0,0.0271,0.0042,0.0125,2.7113,5.5133,100.0,4471,scarlet,good,0
23.0,0.0,0.0271,0.0039,0.0121,2.8478,6.281,99.43994772727272,4471,scarlet,good,0
24.0,0.0286,0.0486,0.0184,0.0211,0.2898,-1.9647,85.0941725,4471,scarlet,good,0
1.0,0.0,0.0273,0.0025,0.0096,3.7839,12.6734,99.87753576190478,4006,scarlet,drop,0.10
2.0,0.0,0.0275,0.0036,0.0117,3.0002,7.166,100.0,4006,scarlet,drop,0.10
3.0,0.0,0.0274,0.0037,0.0118,2.9707,7.0026,100.0,4006,scarlet,drop,0.10
4.0,0.0,0.0274,0.0034,0.0112,3.1758,8.3275,100.0,4006,scarlet,drop,0.10
5.0,0.0071,0.0346,0.0036,0.0114,3.061,7.5907,70.82280814285714,4006,scarlet,drop,0.10
6.0,0.0035,0.0311,0.0035,0.0113,3.0478,7.4649,67.12124704545455,4006,scarlet,drop,0.10
7.0,0.0036,0.0294,0.0036,0.0115,3.028,7.3888,79.642222,4006,scarlet,drop,0.10
8.0,0.0034,0.031,0.0035,0.0112,3.114,7.906,60.62189027272728,4006,scarlet,drop,0.10
9.0,0.0,0.0286,0.0036,0.0115,3.0143,7.3018,100.0,4006,scarlet,drop,0.10
10.0,0.0,0.0275,0.0034,0.0111,3.0949,7.7634,100.0,4006,scarlet,drop,0.10
11.0,0.0,0.0272,0.0042,0.0122,2.763,5.8358,100.0,4006,scarlet,drop,0.10
12.0,0.0038,0.0313,0.0039,0.0118,2.9107,6.6932,41.68674940909091,4006,scarlet,drop,0.10
13.0,0.0,0.0273,0.0039,0.0119,2.8901,6.5715,66.55059490476191,4006,scarlet,drop,0.10
14.0,0.0036,0.0308,0.0036,0.0115,3.058,7.5831,71.21790268181819,4006,scarlet,drop,0.10
